AddressLine	City	AdminDivision	Country	PostCode	Latitude	Longitude	Pokemon	Level
Tiananmen Square	Beijing	BJ	CN	100010	39.90733	116.39108	Pikachu	81
Summer Palace	Beijing	BJ	CN	100087	39.9975	116.2689	Eevee	66
Fawn Creek Township	Kansas	KS	US	30808	37.09024	-95.7	Charizard	88
九莲山	新乡	HN	CN	806456	35.609058	113.572193	Metagross	77
关山草原	宝鸡	SX	CN	111582	34.025982	107.232166	Cinccino	57
西安城墙	西安	SX	CN	561544	34.251854	108.948302	Necrozmadusk	27
鸡笼山	合肥	AH	CN	621060	31.776348	117.558690	Darmanitanzen	20
胡耀邦故居	长沙	HN	CN	220161	28.078068	113.886339	Mareanie	81
桑耶寺	山南	XC	CN	855011	29.325332	91.504096	Trevenant	73
京辉高尔夫俱乐部	北京	BJ	CN	129244	39.805695	116.074097	Sceptilemega	60
廿八都古镇	衢州	ZJ	CN	659993	28.290527	118.483870	Grotle	30
西宁浦宁之珠	西宁	QH	CN	677793	36.620126	101.749760	Krokorok	77
太行山大峡谷	长治	SX	CN	510026	35.928085	113.484887	Flabebeorange	52
天津热带植物观光园	天津	TJ	CN	293531	39.137831	117.094703	Scolipede	91
大港奥林匹克博物馆	天津	TJ	CN	291679	38.932193	117.546424	Porygon	87
汇龙温泉文化庄园	玉溪	YN	CN	439603	24.333165	102.490903	Azelf	95
闯关东影视基地老金沟	黑河	HLJ	CN	049981	50.134171	127.389208	Fearow	14
杨墩休闲农庄	湖州	ZJ	CN	124124	30.490081	120.127690	Arceusghost	73
库布其沙漠	鄂尔多斯	NMG	CN	040745	40.527261	108.113596	Furfroustar	20
前卫生态村	上海	SH	CN	818584	31.724015	121.510876	Ampharosmega	19
千唐志斋	洛阳	HN	CN	845867	34.738215	112.020981	Ursaring	51
象山公园	桂林	GX	CN	584476	25.269721	110.295955	Yanmega	95
天祝三峡	武威	GS	CN	743689	36.976991	103.133342	Forretress	93
大明寺	扬州	JS	CN	323670	32.420057	119.412685	Tsareena	73
松原市龙华寺	松原	JL	CN	837661	45.151192	124.901969	Barboach	45
清晖园	佛山	GD	CN	460914	22.835906	113.255599	Silvallypsychic	33
北京欢乐谷	北京	BJ	CN	380043	39.865649	116.489201	Litleo	32
阳澄湖	苏州	JS	CN	916804	31.489995	120.732070	Salandit	53
大明宫国家遗址公园	西安	SX	CN	086803	34.292330	108.963628	Unfezant	8
万象洞	陇南	GS	CN	057027	33.334268	105.003401	Combee	19
南通博物苑	南通	JS	CN	894547	32.011221	120.869946	Archeops	13
厦门古龙酱文化园	厦门	FJ	CN	415234	24.647544	118.141683	Gourgeistlarge	71
燕子河大峡谷	六安	AH	CN	539939	31.244588	115.896714	Hydreigon	65
无量台风景区	襄阳	HB	CN	004270	32.020779	112.768705	Arceusghost	72
惠和石文化园	厦门	FJ	CN	521753	24.487278	118.151288	Mewtwomegay	48
艾山	青岛	SD	CN	448665	36.119225	119.941887	Omastar	94
中国人民抗日战争纪念馆	北京	BJ	CN	760861	39.851606	116.226754	Metapod	71
关林	洛阳	HN	CN	648472	34.606640	112.483385	Corphish	30
黄花岗七十二烈士陵园	广州	GD	CN	018954	23.140705	113.294432	Minior	42
长寿山国家森林公园	哈尔滨	HLJ	CN	265055	44.670429	127.622370	Ledyba	56
共和国摇篮景区	赣州	JX	CN	579718	25.388222	115.426077	Arceussteel	80
秀山岛	舟山	ZJ	CN	808275	30.151014	122.162715	Latias	36
清东陵	唐山	HB	CN	016211	40.189822	117.665421	Voltorb	27
解州关帝庙	运城	SX	CN	103361	34.908996	110.849258	Panpour	98
淡竹原始森林	台州	ZJ	CN	877846	28.600862	120.530088	Tyranitar	42
白山湖	白山	JL	CN	051299	41.939994	126.423587	Ursaring	4
爨柏景区	北京	BJ	CN	695400	39.972357	115.666673	Miniorgreen	25
松原市龙华寺	松原	JL	CN	805412	45.151192	124.901969	Bewear	33
三台杜甫草堂	绵阳	SC	CN	796224	31.085859	105.082477	Silvallyrock	28
赵世炎烈士故居	重庆	ZQ	CN	166328	28.760819	108.974867	Spiritomb	11
芦芽山	忻州	SX	CN	121133	38.831242	112.077362	Skorupi	4
百里杜鹃	毕节	GZ	CN	727406	27.223292	105.840267	Delcatty	74
汉中博物馆	汉中	SX	CN	147190	33.069425	107.033526	Exploud	42
寿光市生态农业观光园	潍坊	SD	CN	784519	36.862623	118.801947	Bagon	66
包头新世纪青年生态园	包头	NMG	CN	322824	40.618420	109.949347	Mesprit	82
沙雕海洋乐园	秦皇岛	HB	CN	735970	39.619525	119.303897	Helioptile	78
武夷温泉	南平	FJ	CN	109312	27.727235	118.008136	Magearna	31
蟒河生态旅游区	晋城	SX	CN	915837	35.255459	112.441107	Unownn	4
大顶子山温泉旅游区	哈尔滨	HLJ	CN	181975	46.238483	127.423536	Elekid	48
天宁禅寺	常州	JS	CN	570839	31.774261	119.969437	Sharpedomega	1
肥西老母鸡生态园	合肥	AH	CN	144604	31.698155	117.083353	Gumshoos	2
西山森林公园	石家庄	HB	CN	512431	38.011287	114.317197	Growlithe	95
挹娄文化风情园	双鸭山	HLJ	CN	104174	46.765839	131.780978	Pikachuphd	97
道吾山	长沙	HN	CN	265405	28.208541	113.584924	Honedge	86
重庆动物园	重庆	ZQ	CN	464501	29.504051	106.505736	Rotomwash	57
三原县城隍庙	咸阳	SX	CN	711165	34.618507	108.931553	Raticatealola	85
中华文化园	北京	BJ	CN	433944	39.783664	116.294917	Bouffalant	41
三峡蹦极	宜昌	HB	CN	526104	30.767505	111.265956	Beedrillmega	18
和顺古镇	保山	YN	CN	853501	25.018479	98.447787	Mudsdale	89
桃花涧	连云港	JS	CN	826424	34.548029	119.147292	Slowking	30
河南省农业高新科技园	郑州	HN	CN	141189	34.734361	114.116144	Quilladin	50
青岛葡萄酒博物馆	青岛	SD	CN	423694	36.072524	120.347837	Nidorino	92
秦岭大坝沟景区	西安	SX	CN	623371	33.899219	108.853530	Whiscash	9
燕塞湖	秦皇岛	HB	CN	557971	40.044058	119.702273	Unowne	53
山叶口景区	唐山	HB	CN	910453	39.984149	118.527195	Virizion	69
八桂田园景区	南宁	GX	CN	530169	22.853856	108.243093	Pelipper	81
王母池	泰安	SD	CN	076570	36.207717	117.131139	Steelixmega	98
西陵峡风景名胜区	宜昌	HB	CN	987476	30.766578	111.266369	Morelull	11
东天目山	杭州	ZJ	CN	715929	30.362200	119.520825	Aegislash	33
广州番禺莲花山	广州	GD	CN	717408	22.966735	113.506388	Cleffa	14
铜山湖	驻马店	HN	CN	895791	32.761037	113.504835	Arceusground	99
