,citys,latlong,spots,provinces
0,张家界,"110.482434,29.111799",天门山国家森林公园,湖南
1,张家界,"110.442167,29.282828",张家界国家森林公园,湖南
2,衡阳,"112.864018,27.225530",衡山,湖南
3,长沙,"112.937353,28.182849",岳麓山,湖南
4,岳阳,"113.129702,29.371903",岳阳楼—君山岛景区,湖南
5,郴州,"112.737063,25.738464",东江湖,湖南
6,湘潭,"112.470614,27.917757",韶山滴水洞,湖南
7,张家界,"110.119936,29.324424",张家界九天洞,湖南
8,长沙,"112.622058,28.046209",花明楼景区,湖南
9,湘潭,"112.493619,27.913234",韶山旅游区,湖南
10,武汉,"114.267135,30.588888",黄鹤楼,湖北
11,十堰,"111.010920,32.397456",武当山,湖北
12,武汉,"114.271804,30.675250",木兰草原,湖北
13,武汉,"114.272259,31.176086",木兰天池,湖北
14,宜昌,"111.324071,30.768021",三峡人家,湖北
15,恩施,"109.184729,30.473619",恩施大峡谷,湖北
16,宜昌,"111.137850,30.461571",清江画廊,湖北
17,武汉,"114.365703,30.527437",武汉东湖磨山,湖北
18,宜昌,"111.027621,30.812542",三峡大坝旅游区,湖北
19,武汉,"114.201968,31.100771",云雾山,湖北
20,咸宁,"113.630765,29.878772",三国赤壁古战场,湖北
21,神农架,"110.570137,31.351348",神农架,湖北
22,宜昌,"110.823949,31.080473",屈原故里,湖北
23,神农架,"110.350050,31.505490",神农顶景区,湖北
24,神农架,"110.570137,31.351348",神农架国际生态旅游区,湖北
25,恩施,"110.340756,31.042324",巴东神农溪,湖北
26,恩施,"110.298712,31.224774",神农溪景区,湖北
27,武汉,"114.380163,30.572776",听涛景区,湖北
28,神农架,"110.570137,31.351348",神农架高山平原,湖北
29,广州,"113.330424,22.999298",长隆欢乐世界,广东
30,深圳,"113.980847,22.541575",深圳欢乐谷,广东
31,广州,"113.315337,23.001985",长隆野生动物世界,广东
32,深圳,"113.975633,22.536876",世界之窗,广东
33,广州,"113.336770,23.000694",广州长隆旅游度假区,广东
34,深圳,"113.986481,22.530910",锦绣中华民俗村,广东
35,广州,"113.324387,23.001670",长隆水上乐园,广东
36,惠州,"114.067685,23.261218",罗浮山,广东
37,佛山,"113.287579,22.876889",长鹿休闲度假农庄,广东
38,深圳,"113.992754,22.537859",华侨城,广东
39,韶关,"113.733463,25.027346",韶关丹霞山,广东
40,广州,"113.296490,23.064786",白云山,广东
41,清远,"112.329989,25.001863",连州地下河,广东
42,阳江,"111.853415,21.571111",大角湾,广东
43,梅州,"116.375680,24.380042",雁南飞茶田景区,广东
44,佛山,"112.986843,22.936059",西樵山,广东
45,中山,"113.529106,22.442491",孙中山故居纪念馆,广东
46,阳江,"111.853415,21.571111",海陵岛大角湾海上丝路旅游区,广东
47,惠州,"114.216788,23.045379",惠州西湖,广东
48,深圳,"113.876880,22.780712",观澜湖,广东
49,南宁,"108.370380,22.793608",青秀山旅游区,广西
50,崇左,"106.728430,22.853146",德天跨国瀑布,广西
51,桂林,"110.297131,25.268656",象鼻山,广西
52,桂林,"110.022831,25.204726",桂林两江四湖景区,广西
53,桂林,"110.676800,25.580154",桂林乐满地主题乐园,广西
54,桂林,"110.500359,24.772084",漓江,广西
55,桂林,"110.299161,25.281651",独秀峰王城景区,广西
56,桂林,"110.303804,25.282677",叠彩伏波景区,广西
57,桂林,"110.500359,24.772084",漓江【风光号】四星高端游船,广西
58,桂林,"110.500359,24.772084",漓江【盛景号】游轮,广西
59,郑州,"113.016926,34.468231",少林寺,河南
60,洛阳,"112.475441,34.549160",龙门石窟,河南
61,开封,"114.341092,34.808158",清明上河园,河南
62,焦作,"113.411250,35.364736",云台山,河南
63,洛阳,"111.649852,33.718614",老君山,河南
64,洛阳,"112.003351,34.965837",龙潭大峡谷,河南
65,焦作,"112.816844,35.212429",神农山,河南
66,焦作,"113.010490,35.341152",青天河,河南
67,郑州,"113.004052,34.519664",嵩山,河南
68,洛阳,"111.571280,33.783673",鸡冠洞,河南
69,平顶山,"112.336440,33.706079",尧山,河南
70,洛阳,"111.841283,33.683911",洛阳白云山度假区,河南
71,南阳,"111.686852,33.231187",恐龙遗迹园,河南
72,南阳,"111.786389,33.640450",老界岭,河南
73,商丘,"116.487911,34.176850",芒砀山旅游区,河南
74,平顶山,"112.459306,33.758062",中原大佛景区,河南
75,安阳,"113.727806,35.975793",红旗渠,河南
76,驻马店,"113.730166,33.129731",嵖岈山,河南
77,保定,"114.682518,39.230279",白石山世界地质公园,河北
78,承德,"117.946394,41.004379",避暑山庄,河北
79,唐山,"117.665421,40.189822",清东陵,河北
80,保定,"115.449070,39.669983",野三坡,河北
81,邯郸,"113.616375,36.640790",娲皇宫,河北
82,保定,"115.385580,39.668395",野三坡百里峡,河北
83,保定,"116.001576,38.879326",白洋淀,河北
84,石家庄,"113.940512,38.340204",西柏坡,河北
85,石家庄,"113.940512,38.340204",西柏坡中共中央旧址,河北
86,邯郸,"114.730330,36.701069",广府古城,河北
87,保定,"115.474678,38.879058",白洋淀文化苑,河北
88,保定,"115.969253,38.941342",白洋淀荷花大观园,河北
89,石家庄,"113.943576,38.339179",西柏坡纪念馆,河北
90,承德,"117.942189,41.009324",外八庙,河北
